ph,abs
4.00913242,-0.004545455
4.228310502,-0.002597403
4.447488584,-0.002597403
4.703196347,0.001298701
4.940639269,0.001298701
5.168949772,0.005194805
5.415525114,0.011038961
5.616438356,0.018831169
5.780821918,0.028571429
5.908675799,0.042207792
6.054794521,0.055844156
6.210045662,0.081168831
6.328767123,0.104545455
6.401826484,0.122077922
6.493150685,0.145454545
6.602739726,0.182467532
6.703196347,0.221428571
6.785388128,0.252597403
6.876712329,0.293506494
6.97716895,0.342207792
7.059360731,0.387012987
7.150684932,0.437662338
7.223744292,0.476623377
7.333333333,0.540909091
7.415525114,0.585714286
7.488584475,0.626623377
7.561643836,0.665584416
7.662100457,0.712337662
7.753424658,0.751298701
7.844748858,0.794155844
7.926940639,0.825324675
8.01826484,0.850649351
8.127853881,0.881818182
8.228310502,0.903246753
8.319634703,0.920779221
8.429223744,0.936363636
8.566210046,0.951948052
8.721461187,0.965584416
8.858447489,0.973376623
8.98630137,0.981168831
9.159817352,0.987012987
9.406392694,0.992857143
9.579908676,0.994805195
9.853881279,0.996753247
10.23744292,0.998701299
10.50228311,0.998701299
10.83105023,0.998701299
11.24200913,1.000649351
11.55251142,1.000649351
11.79908676,1.000649351
12.03652968,1.000649351
